Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
MetaSport Training Clinics 2016;Friday, January  1, 2016 - Saturday, December 31, 2016;MetaSport 10B Institution Hill - , Singapore 239665 ;triathlon; Triathlon Beginner;MetaSport;http://www.metasport.com/;http://www.active.com//duathlon/camps/metasport-training-clinics-2016-2015?int=72-3-A10
COMBO вЂ“ IRONMAN 70.3 Brasil Paraguay 2016 + IRONMAN Florianopolis 2017;Sunday, August 27, 2017;Itaipu Binacional Av. Tancredo Neves, 6.731 Foz do IguaГ§u , PR , Brazil 85856-970 ;triathlon; Triathlon;Unlimited Sports;http://www.ironmanbrasil.com.br/2016/pal/br/;http://www.active.com//foz-do-igua-u-pr/triathlon/races/combo-ironman-70-3-brasil-paraguay-2016-ironman-florianopolis-2017?int=72-3-A7
Castle Triathlon Series 2017;Saturday, May 27, 2017 - Sunday, October  1, 2017;Various locations across UK, Ireland and France Weston House 42 Curtain Road London , United Kingdom EC2A 3NH ;triathlon; Triathlon Beginner;NSPCC;https://www.nspcc.org.uk/what-you-can-do/events/castle-triathlon-series/;http://www.active.com//london/triathlon/races/castle-triathlon-series-2017?int=72-3-A10
King Pine Tri & Duathlon;Saturday, June  3, 2017;King Pine Ski Area Rt.153 1251 Eaton Rd. Madison , NH 03849 ;triathlon; Triathlon International Sprint Beginner;Tri Tek Events;http://www.kingpinetri.com/index.php;http://www.active.com//madison-nh/duathlon/races/king-pine-tri-and-duathlon-2017?int=72-3-A5
Race #3;Sunday, July  9, 2017 @  7:00 AM;  871 Riverland Dr Charleston , SC 29412.0 ;triathlon; Triathlon Charleston, SC; ; ;http://www.active.com//charleston-sc/triathlon/races/race-3-2017-26505241?int=72-3-A3
Harford Multisport Club 2016 Membership;Saturday, December 31, 2016;Harford Multisport Club PO Box 314 Jarrettsville , MD 21084 ;triathlon; Triathlon;Harford Multisport Club;http://www.harfordmultisport.org;http://www.active.com//jarrettsville-md/triathlon/memberships/harford-multisport-club-membership-2016?int=72-3-A10
SoCal Youth Triathlon Series Kids Open Water Swim Clinic;Sunday, April 23, 2017;South Shores Park, Mission Bay South Shores Park San Diego , CA 92109 ;triathlon; Water Sports Beginner San Diego, CA;TriUSCoaching;http://www.triuscoaching.com/upcoming-events;http://www.active.com//san-diego-ca/water-sports/swimming-camps/socal-youth-triathlon-series-kids-open-water-swim-clinic-2017?int=72-3-A1
Try The Triple;Friday, April 14, 2017 - Sunday, July  9, 2017;Radley College Kennington Road Abingdon Oxford , Oxfordshire , United Kingdom OX14 2HR ;triathlon; Triathlon Sprint Super Sprint;Rees Leisure; ;http://www.active.com//oxford-oxfordshire/triathlon/races/try-the-triple-2017?int=72-3-A9
Orange County TriathlonвЂўDuathlon;Sunday, June  4, 2017;Lake Mission Viejo 22555 Olympiad Rd Mission Viejo , CA 92692 ;triathlon; Triathlon International Beginner Mission Viejo, CA;Pelican Coast Events Inc.;http://www.octriseries.com/;http://www.active.com//mission-viejo-ca/duathlon/races/orange-county-triathlon-duathlon-2017?int=72-3-A6
Trailathlon;Saturday, November 12, 2016;Behind Haw River Canoe & Kayak Co. 6079 Swepsonville-Saxapahaw Rd Saxapahaw , NC 27253 ;triathlon; Triathlon Beginner;The Haw River Trail;https://www.facebook.com/events/342936582706373/;http://www.active.com//saxapahaw-nc/triathlon/races/trailathlon-2016?int=72-3-A8
