Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
2017 LEGEND Endurance - Free State Triathlon;Sunday, June  4, 2017;Clinton State Park 798 North 1415 Road Lawrence , KS 66049 ;triathlon; Triathlon International Sprint Beginner Lawrence, KS;Legend Tri;http://www.legendendurance.com;http://www.active.com//lawrence-ks/triathlon/races/legend-endurance-free-state-triathlon-2017?int=72-3-A5cb44a2e2-1635-46c7-ac5f-5c0d097bfd67
New Jersey State Triathlon;Saturday, July 22, 2017 - Sunday, July 23, 2017;West Windsor Township 1638 Old Trenton Rd. West Windsor , NJ 08550 ;triathlon; Triathlon Sprint International Beginner;CGI Racing;http://www.cgiracing.com/newjerseystatetri/;http://www.active.com//west-windsor-nj/triathlon/races/new-jersey-state-triathlon-2017?int=72-3-A6ca3e70a8-8460-4537-b125-48ffec5931c5
SPLASH & DASH + SWIM ONLY - RACE 5;Saturday, November 12, 2016;North Event Boat Ramp Tempe Town Lake Tempe , AZ 85281 ;triathlon; Triathlon Sprint Beginner Tempe, AZ;4 Peaks Racing;http://4peaksracing.com/events/ironcare-splash-dash-5-2016/;http://www.active.com//tempe-az/triathlon/races/splash-and-dash-swim-only-race-5-2016?int=72-3-A782763baf-5861-46b9-bd59-196ea2ddc362
ESCAPE FROM ALCATRAZ TRIATHLON 2017 - Random Drawing;Sunday, June 11, 2017;Marina Green 500 Marina Green San Francisco , CA 94123 ;triathlon; Triathlon San Francisco, CA;IMG Worldwide;http://www.escapealcatraztri.com;http://www.active.com//san-francisco-ca/triathlon/races/escape-from-alcatraz-triathlon-random-drawing-2017?int=72-3-A885e0c1ab-ef67-4ff5-83ad-00166d6b586f
Revolution3 Quassy 2017;Saturday, June  3, 2017 - Sunday, June  4, 2017;Middlebury, CT 2132 Middlebury Road Middlebury , CT 06762 ;triathlon; Triathlon International Beginner;ATP Productions;http://rev3tri.com/quassy/;http://www.active.com//middlebury-ct/triathlon/races/revolution3-quassy-2017?int=72-3-A9c4a16366-191b-420c-9ab7-74210a4be713
Trialo del Litoral de Mayaguez /Cierre PRTS 2016;Sunday, December 18, 2016;  Litoral de Mayaguez Mayaguez , PR 00680 ;triathlon; Triathlon Sprint;PUERTO RICO TRIATHLON SERIES ORG.;https://www.facebook.com/Trialo-del-Litoral-de-Mayaguez-1510448149269649/?fref=ts;http://www.active.com//mayaguez-pr/triathlon/races/trialo-del-litoral-de-mayaguez-cierre-prts-2016?int=72-3-A1036954f91-2369-4723-947e-bdbd44823012
2016 IRONMAN Fortaleza;Sunday, November 20, 2016;Praia de Iracema Marina Park Hotel Fortaleza , CE , Brazil 60312-060 ;triathlon; Triathlon Ironman;Unlimited Sports;http://www.ironmanbrasil.com.br/2016/for/br/;http://www.active.com//fortaleza-ce/triathlon/races/ironman-fortaleza-2016?int=72-3-A11907cf73c-065c-4e54-8da4-540546e75107
Catalina Triathlon, Duathlon and 5K;Saturday, November  5, 2016;Catalina Island Pier 1 Green Pleasure Pier Avalon , CA 90704 ;triathlon; Running Distance Running 5K Sprint Beginner;Renegade Racing;http://www.RenegadeRaceSeries.com;http://www.active.com//avalon-ca/running/distance-running-races/catalina-triathlon-duathlon-and-5k-2016?int=72-3-A1a22f5c76-926c-4523-b63f-408bf588f064
2017 Monte Rio Triathlon;Sunday, June  4, 2017;Monte Rio Beach 20488 Highway 116 Monte Rio , CA 95462 ;triathlon; Triathlon Sprint International Beginner;Vineman, Inc.;http://www.vineman.com;http://www.active.com//monte-rio-ca/triathlon/races/monte-rio-triathlon-2017?int=72-3-A21540091c-820d-4478-8104-db17d12cf43b
IRONMAN 70.3 CAMPECHE 2017;Sunday, March 19, 2017;  Campeche Carretera Federal MГ©rida-ChampotГіn km 193+000 Campeche Country Club Campeche , Campeche , Mexico 24500 ;triathlon; Triathlon Half Ironman;ASDEPORTE USA, LLC_WTC;http://www.ironman703campeche.com;http://www.active.com//campeche-campeche/triathlon/races/ironman-70-3-campeche-2017?int=72-3-A3790369e9-3909-49f2-aa13-0173a99746e3
2017 Indiana Spring Sprint Tri/Du at Ball State University;Saturday, April 29, 2017;Ball State University 2000 W. University Muncie , IN 47306 ;triathlon; Triathlon 5K 5 Mile Super Sprint Sprint Beginner Muncie, IN;America Multi-Sport, Inc.;http://americamultisport.com/event/bsu-spring-sprint-triathlon/;http://www.active.com//muncie-in/running/distance-running-races/indiana-spring-sprint-tri-du-at-ball-state-university-2017?int=72-3-A4eb786038-383f-4fb5-8c2a-a8f52fff8153
